id_rimas,AQ,Form,lat,lon,Profundidade Final (m),Profundidade Útil (m),Condutividade elétrica (μS/cm),Pearson,R^2,a,b,da,db,n. pontos
3500045116,AQBauru,FormCaiua,"-23,875833","-52,868333",66,64,"67,2","0,90","0,82","0,0451","1,7245","0,0024","0,0340",85
3500028111,AQBauru,FormCaiua,"-20,478333","-53,751111",52,50,"7,6","0,90","0,81","0,3010","4,8588","0,0131","0,1037",124
3500027321,AQBauru,FormBauru,"-20,779444","-49,731944",52,52,"132,8","0,87","0,76","0,1124","3,3625","0,0059","0,1337",115
3100020236,AQBauru,FormBauru,"-18,880833","-48,885278",54,54,"0,0","0,86","0,73","0,1602","3,7157","0,0126","0,1874",60
5200007146,AQGuarani,FormBotucatu,"-18,224722","-52,229444",71,71,"12,0","0,85","0,72","0,1380","2,9003","0,0099","0,0731",76
3500029178,AQBauru,FormSantoAnastacio,"-21,300556","-52,818889",60,58,"93,3","0,85","0,72","0,0985","3,1597","0,0060","0,0890",106
3100020033,AQBauru,FormBauru,"-19,770278","-48,578611",54,54,"70,8","0,85","0,72","0,0977","2,3529","0,0060","0,0682",107
3500027323,AQBauru,FormBauru,"-21,313889","-50,929722",52,52,"101,0","0,83","0,69","0,1438","3,0459","0,0089","0,0860",119
3500027887,AQBauru,FormBauru,"-21,951389","-50,678333","52,7","52,7","94,2","0,83","0,69","0,0826","2,0583","0,0053","0,0376",112
3500034023,AQBauru,FormSantoAnastacio,"-22,074167","-53,368889","61,4",60,"9,2","0,83","0,69","0,1107","3,0451","0,0087","0,0841",77
3500027888,AQGuarani,FormBotucatu,"-21,969722","-48,392778","16,4",16,"21,3","0,83","0,68","0,2173","2,0880","0,0148","0,0714",101
3500034022,AQGuarani,FormPiramboia,"-18,682778","-53,636389","61,4",60,"123,3","0,81","0,66","0,1691","4,5550","0,0134","0,1725",84
3100020037,AQBauru,FormBauru,"-18,535000","-48,197222",42,42,"0,0","0,80","0,65","0,0935","2,6367","0,0064","0,0640",117
3500034020,AQBauru,FormValeRioDoPeixe,"-19,738333","-51,933056",66,64,"126,1","0,80","0,64","0,2281","5,4786","0,0185","0,2934",86
3500027322,AQBauru,FormBauru,"-21,425000","-50,016389",44,44,"49,5","0,80","0,63","0,1459","2,5307","0,0098","0,0600",129
3500026837,AQBauru,FormBauru,"-20,145000","-51,143889",52,52,"7,0","0,79","0,63","0,0737","2,4455","0,0053","0,0859",116
3500026840,AQBauru,FormBauru,"-23,669722","-54,565000",62,62,"118,2","0,78","0,60","0,0769","1,7640","0,0060","0,0232",108
3500029180,AQBauru,FormCaiua,"-20,461111","-52,819722",60,58,"7,3","0,77","0,59","0,0691","4,6536","0,0058","0,2131",101
3500026832,AQBauru,FormCaiua,"-23,080556","-52,420000",60,"59,4","54,3","0,76","0,58","0,0411","1,9150","0,0033","0,0790",111
5200006104,AQBauru,FormValeRioDoPeixe,"-17,788889","-50,915278","41,38","41,38","417,0","0,76","0,58","0,2106","1,9003","0,0183","0,0939",97
3500028107,AQGuarani,FormPiramboia,"-21,160000","-55,819722",50,50,"339,7","0,76","0,58","0,0633","1,1743","0,0059","0,0358",87
3500034018,AQBauru,FormSerraGeral,"-22,457500","-49,340278",68,66,"62,4","0,76","0,57","0,0860","3,8866","0,0086","0,2701",77
3500028110,AQGuarani,FormBotucatu,"-19,406667","-54,691111",60,58,"26,3","0,75","0,56","0,1435","1,2324","0,0118","0,0174",117
3500026833,AQBauru,FormCaiua,"-22,785278","-53,267222",60,"51,5","102,8","0,75","0,56","0,0752","1,8417","0,0061","0,0400",124
3500026830,AQBauru,FormCaiua,"-23,825833","-53,260000",70,"67,29","12,3","0,75","0,56","0,0459","1,7500","0,0037","0,0548",127
3100020109,AQBauru,FormValeRioDoPeixe,"-19,560278","-50,015833",62,62,"215,0","0,74","0,55","0,0302","1,2409","0,0027","0,0478",101
3100020778,AQBauru,FormBauru,"-19,528056","-49,739722",72,72,"150,0","0,74","0,55","0,0764","2,8321","0,0068","0,1333",106
3500029467,AQBauru,FormValeRioDoPeixe,"-22,415833","-51,526111",58,58,"43,4","0,70","0,50","0,0571","2,1373","0,0055","0,1417",110
3500034025,AQBauru,FormCaiua,"-22,779444","-52,656111","86,6",84,"234,1","0,69","0,47","0,0234","1,9317","0,0027","0,0923",84
3100020774,AQBauru,FormBauru,"-19,206389","-50,023611",80,80,"237,9","0,68","0,46","0,0366","2,6219","0,0049","0,2717",67
3500029466,AQBauru,FormValeRioDoPeixe,"-21,675000","-51,384167",78,78,"155,0","0,65","0,43","0,0422","2,6179","0,0049","0,2020",100
3500027320,AQBauru,FormBauru,"-21,220000","-48,901667",60,60,"130,2","0,65","0,42","0,0815","3,0208","0,0088","0,2568",119
3500027324,AQBauru,FormCaiua,"-20,842778","-51,358333",60,60,"58,7","0,65","0,42","0,0509","2,2277","0,0058","0,0839",109
3100020035,AQBauru,FormBauru,"-19,555000","-50,574167",53,53,"152,0","0,64","0,42","0,0306","0,9180","0,0033","0,0414",121
3500029442,AQBauru,FormCaiua,"-23,004722","-52,934167",70,70,"24,8","0,64","0,41","0,0487","2,4730","0,0055","0,1726",114
3100020111,AQBauru,FormSerraGeral,"-18,998333","-49,490000",36,35,"6,3","0,64","0,41","0,0408","1,8755","0,0049","0,0945",102
3500029179,AQBauru,FormCaiua,"-21,296667","-52,067222",60,58,"7,2","0,63","0,39","0,0840","3,1117","0,0103","0,2670",105
3100020034,AQBauru,FormBauru,"-19,300833","-48,917778",48,48,"191,0","0,61","0,37","0,0874","4,3355","0,0109","0,3314",111
3500027571,AQBauru,FormBauru,"-23,366111","-53,145278",60,60,"56,4","0,59","0,35","0,0489","1,8686","0,0061","0,0789",121
3500026834,AQBauru,FormCaiua,"-23,693333","-52,641389",60,58,"11,2","0,59","0,35","0,0208","1,0430","0,0025","0,0283",127
3500034021,AQBauru,FormSantoAnastacio,"-20,547500","-49,135556","52,3","51,3","45,0","0,59","0,35","0,0591","1,9790","0,0088","0,1827",86
3500026839,AQBauru,FormFurnas,"-18,477500","-54,728333","21,6",20,"248,0","0,58","0,34","0,0539","2,5916","0,0083","0,0890",86
3100020112,AQBauru,FormValeRioDoPeixe,"-18,869444","-48,921944",36,36,"0,0","0,58","0,33","0,0824","1,8880","0,0118","0,0785",99
3500034024,AQBauru,FormCaiua,"-23,011667","-53,190833",62,62,"81,3","0,57","0,33","0,0331","2,6509","0,0055","0,2606",75
3500027572,AQBauru,FormRioDoRastro,"-26,198333","-51,095000","16,85",16,"74,8","0,56","0,32","0,0235","2,0260","0,0035","0,0153",101
3500027884,AQGuarani,FormPiramboia,"-21,452500","-47,589167",46,"45,3","23,7","0,56","0,32","0,0534","1,3919","0,0077","0,0836",105
3500026836,AQBauru,FormBauru,"-22,369167","-53,919167",66,60,"13,8","0,56","0,31","0,0308","2,3480","0,0041","0,1630",124
3100020108,AQBauru,FormValeRioDoPeixe,"-19,537222","-49,512500",62,62,"29,0","0,54","0,29","0,0602","2,2105","0,0084","0,1163",126
3500029441,AQBauru,FormCaiua,"-22,733889","-52,890833",86,86,"23,1","0,52","0,27","0,0238","2,2089","0,0036","0,1441",116
3100020775,AQBauru,FormBauru,"-18,830833","-50,140278","41,7","41,7","0,0","0,52","0,27","0,0365","1,1802","0,0073","0,1345",72
3500026835,AQBauru,FormCaiua,"-22,945556","-52,157778",60,"59,4","20,0","0,51","0,26","0,0253","1,9593","0,0041","0,1845",111
3500027573,AQBauru,FormSerraGeral,"-25,568611","-51,107778",60,60,"76,0","0,51","0,26","0,0248","2,5001","0,0038","0,0877",125
3100020113,AQBauru,FormMarilia,"-18,621944","-48,685278",101,101,"6,0","0,51","0,26","0,0488","2,7161","0,0077","0,1979",119
3500028108,AQGuarani,FormBotucatu,"-19,987778","-54,787778",66,66,"20,3","0,50","0,25","0,0591","2,9230","0,0098","0,3203",111
3500028109,AQGuarani,FormPiramboia,"-19,255000","-54,326667",68,66,"30,0","0,49","0,24","0,0614","2,3506","0,0102","0,2333",115
3500027886,AQGuarani,FormBotucatu,"-22,309167","-48,106667",33,32,"10,3","0,49","0,24","0,0412","1,9361","0,0078","0,1660",91
3100020776,AQBauru,FormBauru,"-19,696389","-50,674722",42,42,"161,0","0,47","0,22","0,0223","0,8160","0,0053","0,0672",66
3500029469,AQBauru,FormCaiua,"-23,414444","-53,384444",70,70,"43,1","0,46","0,21","0,0246","1,9699","0,0045","0,1053",115
3500029468,AQBauru,FormBauru,"-22,311111","-52,245000",78,78,"24,0","0,46","0,21","0,0404","1,9346","0,0078","0,1989",105
3100020235,AQBauru,FormBauru,"-19,211944","-49,793056",66,60,"42,2","0,45","0,20","0,0404","1,1936","0,0082","0,0816",96
3100020036,AQBauru,FormBauru,"-18,659722","-48,192500",60,60,"0,0","0,45","0,20","0,6662","32,7231","0,1296","3,0422",107
3100020777,AQBauru,FormBauru,"-19,906389","-50,722778",29,29,"24,5","0,45","0,20","0,0184","1,1848","0,0051","0,1048",55
3100020429,AQBauru,FormBauru,"-18,606667","-48,719444",52,52,"30,0","0,40","0,16","0,0384","2,5453","0,0087","0,2514",106
5200006103,AQBauru,FormFurnas,"-16,469444","-54,680278","60,5","60,5","419,0","0,38","0,15","0,0172","1,4812","0,0042","0,0734",103
3500027634,AQGuarani,FormBotucatu,"-23,005556","-49,915278",60,60,"38,7","0,37","0,14","0,0189","1,2563","0,0043","0,0372",126
3500026838,AQGuarani,FormBotucatu,"-19,637778","-54,082222",62,60,"83,1","0,36","0,13","0,0809","4,1149","0,0197","0,6959",119
3100020779,AQBauru,FormBauru,"-19,328056","-49,644722",57,57,"4,9","0,32","0,10","0,0388","2,3504","0,0114","0,2399",102
5200007147,AQGuarani,FormBotucatu,"-18,188889","-52,325556",61,61,"122,0","0,28","0,08","0,0339","3,2967","0,0118","0,5018",102
3100020110,AQBauru,FormValeRioDoPeixe,"-19,206944","-49,782778",72,"63,5","113,0","0,25","0,06","0,0233","1,4161","0,0097","0,2404",87
5200007037,AQBauru,FormMarilia,"-17,203889","-54,143889",73,73,"194,0","-0,22","0,05","-0,0338","0,8826","0,0149","0,3520",106
3500027885,AQGuarani,FormPiramboia,"-23,079444","-48,253611",60,60,"35,2","0,19","0,04","0,0239","1,7916","0,0111","0,2006",121
3500027325,AQBauru,FormBauru,"-22,606111","-50,377222",60,60,"21,0","-0,18","0,03","-0,0102","0,4800","0,0050","0,1428",123
3100020773,AQBauru,FormBauru,"-18,931667","-49,842222","37,6","37,6","0,0","0,13","0,02","0,0128","1,2701","0,0116","0,3168",76
3500026831,AQBauru,FormCaiua,"-23,834444","-53,808611",70,"67,25","94,5","-0,07","0,00","-0,0008","1,1790","0,0011","0,0305",125
3100020038,AQBauru,FormBauru,"-18,772500","-49,072500",50,50,"0,0","0,06","0,00","0,0079","1,2764","0,0137","0,2487",101
3100020114,AQBauru,FormMarilia,"-18,892222","-48,241111",82,82,"0,0","0,05","0,00","0,0133","2,3164","0,0264","1,1484",91